Hydropathy,Hydropathy_diff,ID
-0.7499999999999998,0.1,1ZAN_1
-0.7499999999999998,0.1,1ZAN_1
-1.7599999999999998,0.47,4NJA_1
-1.7599999999999998,0.47,4NJA_1
1.2000000000000002,,3V4U_1
1.2000000000000002,,3V4U_1
-5.09,0.0,1G7I_1
-5.09,0.0,1G7I_1
0.49,0.09,4EDW_1
0.49,0.09,4EDW_1
1.1300000000000001,0.0,4UOK_1
1.1300000000000001,0.0,4UOK_1
-1.0099999999999998,1.07,5KAQ_1
-1.0099999999999998,1.07,5KAQ_1
2.71,,4ENE_1
2.71,,4ENE_1
-0.43999999999999995,0.0,4WHY_4
-0.43999999999999995,0.0,4WHY_4
-4.07,1.1800000000000002,6MAM_1
-4.07,1.1800000000000002,6MAM_1
0.8600000000000005,0.6499999999999999,4FZ8_1
0.8600000000000005,0.6499999999999999,4FZ8_1
-2.7199999999999998,0.0,5FEC_1
-2.7199999999999998,0.0,5FEC_1
-0.72,0.0,1EAP_1
-0.72,0.0,1EAP_1
-4.5,0.0,1KIQ_1
-4.5,0.0,1KIQ_1
-1.359999999999999,,3ZTN_1
-1.359999999999999,,3ZTN_1
-0.7600000000000002,0.24000000000000002,1W72_1
-0.7600000000000002,0.24000000000000002,1W72_1
-3.6699999999999995,0.1,4IDJ_1
-3.6699999999999995,0.1,4IDJ_1
-2.58,,1Q9W_1
-2.58,,1Q9W_1
-0.77,0.0,3CLE_1
-0.77,0.0,3CLE_1
0.26,0.0,4LLY_1
0.26,0.0,4LLY_1
-0.06999999999999998,0.0,6D11_1
-0.06999999999999998,0.0,6D11_1
-0.34999999999999987,0.0,4MHH_1
-0.34999999999999987,0.0,4MHH_1
-2.4499999999999997,0.0,4IOF_1
-2.4499999999999997,0.0,4IOF_1
-3.79,0.54,6CA9_1
-3.79,0.54,6CA9_1
0.8199999999999998,0.0,4HJ0_1
0.8199999999999998,0.0,4HJ0_1
-1.74,0.0,1NCB_1
-1.74,0.0,1NCB_1
-1.17,0.0,5BK1_1
-1.17,0.0,5BK1_1
-1.8499999999999996,0.18999999999999995,5TPP_1
-1.8499999999999996,0.18999999999999995,5TPP_1
-0.09999999999999999,0.0,4UV7_1
-0.09999999999999999,0.0,4UV7_1
-1.45,1.78,3I75_1
-1.45,1.78,3I75_1
0.31000000000000016,0.0,5N7W_1
0.31000000000000016,0.0,5N7W_1
0.01000000000000012,0.0,6R2S_1
0.01000000000000012,0.0,6R2S_1
-9.440000000000003,0.12,4YDJ_1
-9.440000000000003,0.12,4YDJ_1
1.940000000000001,,5JW5_1
1.940000000000001,,5JW5_1
-0.09999999999999992,0.5599999999999999,5X5X_1
-0.09999999999999992,0.5599999999999999,5X5X_1
-3.1599999999999997,0.0,4YFL_1
-3.1599999999999997,0.0,4YFL_1
2.74,0.51,6E4X_1
2.74,0.51,6E4X_1
-0.9400000000000002,0.0,4QXG_1
-0.9400000000000002,0.0,4QXG_1
0.26000000000000006,0.0,1UYW_1
0.26000000000000006,0.0,1UYW_1
0,0.0,6E9Q_1
0,0.0,6E9Q_1
-0.7099999999999997,,1TQB_1
-0.7099999999999997,,1TQB_1
-0.8899999999999999,0.0,2YSS_1
-0.8899999999999999,0.0,2YSS_1
-1.6800000000000002,,4LAS_1
-1.6800000000000002,,4LAS_1
-1.9000000000000004,0.0,1JGU_1
-1.9000000000000004,0.0,1JGU_1
-4.94,0.0,3BAE_1
-4.94,0.0,3BAE_1
0.71,0.0,5WHJ_1
0.71,0.0,5WHJ_1
0.31000000000000005,0.0,1GGI_1
0.31000000000000005,0.0,1GGI_1
-3.1399999999999997,0.24000000000000002,2G5B_1
-3.1399999999999997,0.24000000000000002,2G5B_1
1.6200000000000003,0.0,4KTD_1
1.6200000000000003,0.0,4KTD_1
-0.5599999999999999,0.0,4XVJ_1
-0.5599999999999999,0.0,4XVJ_1
-0.73,0.0,3J42_1
-0.73,0.0,3J42_1
-1.8899999999999997,0.0,1YED_1
-1.8899999999999997,0.0,1YED_1
1.9300000000000004,0.0,1RMF_1
1.9300000000000004,0.0,1RMF_1
0.2600000000000001,0.0,4K9E_1
0.2600000000000001,0.0,4K9E_1
0.1700000000000001,0.0,5I15_1
0.1700000000000001,0.0,5I15_1
-2.379999999999999,,6MCO_1
-2.379999999999999,,6MCO_1
-2.3099999999999996,0.0,4JDT_1
-2.3099999999999996,0.0,4JDT_1
-2.02,,5J3H_1
-2.02,,5J3H_1
-2.24,0.0,2QQN_1
-2.24,0.0,2QQN_1
0.18000000000000002,0.0,5TDO_2
0.18000000000000002,0.0,5TDO_2
0.64,0.0,5D72_1
0.64,0.0,5D72_1
-0.1499999999999998,0.07999999999999996,3KDM_1
-0.1499999999999998,0.07999999999999996,3KDM_1
1.25,0.21,4M8Q_1
1.25,0.21,4M8Q_1
-4.8100000000000005,0.0,4ISV_1
-4.8100000000000005,0.0,4ISV_1
-2.02,0.35,4JQI_1
-2.02,0.35,4JQI_1
-1.13,0.0,6A78_2
-1.13,0.0,6A78_2
-1.04,0.1,1I7Z_1
-1.04,0.1,1I7Z_1
-4.54,1.78,12E8_1
-4.54,1.78,12E8_1
-1.46,0.38,4ODV_1
-1.46,0.38,4ODV_1
0.31000000000000005,0.7,5EZI_1
0.31000000000000005,0.7,5EZI_1
0.7100000000000004,0.0,3RAJ_1
0.7100000000000004,0.0,3RAJ_1
0.2999999999999998,0.08000000000000002,6DDV_1
0.2999999999999998,0.08000000000000002,6DDV_1
-0.36,0.0,1PLG_1
-0.36,0.0,1PLG_1
-1.08,0.0,2ZJS_1
-1.08,0.0,2ZJS_1
0.2500000000000001,0.51,5VXR_1
0.2500000000000001,0.51,5VXR_1
4.29,0.0,5K9J_1
4.29,0.0,5K9J_1
-1.44,0.0,5UEA_1
-1.44,0.0,5UEA_1
-0.5,0.0,4FAB_1
-0.5,0.0,4FAB_1
0.6000000000000003,,6C5K_1
0.6000000000000003,,6C5K_1
0.36,0.0,4K7P_2
0.36,0.0,4K7P_2
-3.909999999999998,,6N35_1
-3.909999999999998,,6N35_1
-0.35,0.51,6IEB_1
-0.35,0.51,6IEB_1
-3.009999999999999,,6IDG_1
-3.009999999999999,,6IDG_1
0.16,0.0,2Y6S_1
0.16,0.0,2Y6S_1
-0.25999999999999973,0.0,3GRW_1
-0.25999999999999973,0.0,3GRW_1
-4.69,0.0,4OM1_1
-4.69,0.0,4OM1_1
-0.4700000000000002,0.0,5ZIA_1
-0.4700000000000002,0.0,5ZIA_1
0.3000000000000004,0.0,6QN8_1
0.3000000000000004,0.0,6QN8_1
-2.2700000000000005,,2HRP_1
-2.2700000000000005,,2HRP_1
2.0700000000000003,,6AZX_1
2.0700000000000003,,6AZX_1
0.9500000000000001,0.09,2R4R_1
0.9500000000000001,0.09,2R4R_1
-1.0,0.35,2AAB_1
-1.0,0.35,2AAB_1
0.3600000000000001,0.0,1KEN_1
0.3600000000000001,0.0,1KEN_1
0.6500000000000001,0.5599999999999999,6DKJ_1
0.6500000000000001,0.5599999999999999,6DKJ_1
-1.04,0.0,1NSN_1
-1.04,0.0,1NSN_1
0.42000000000000015,0.0,1ORQ_1
0.42000000000000015,0.0,1ORQ_1
-5.8199999999999985,0.6499999999999999,3BN9_1
-5.8199999999999985,0.6499999999999999,3BN9_1
-0.8899999999999999,0.0,2DQD_1
-0.8899999999999999,0.0,2DQD_1
0.3600000000000001,0.0,6MH2_1
0.3600000000000001,0.0,6MH2_1
-0.33999999999999986,0.35,4M6O_1
-0.33999999999999986,0.35,4M6O_1
2.0100000000000007,0.0,5WEQ_1
2.0100000000000007,0.0,5WEQ_1
-3.5999999999999996,0.0,2QSC_1
-3.5999999999999996,0.0,2QSC_1
-2.02,0.35,4ONG_1
-2.02,0.35,4ONG_1
-2.8400000000000003,0.0,5TLJ_1
-2.8400000000000003,0.0,5TLJ_1
0.1000000000000002,0.0,2JEL_1
0.1000000000000002,0.0,2JEL_1
-2.5199999999999996,,1NGZ_1
-2.5199999999999996,,1NGZ_1
-1.8999999999999995,0.39,6JEP_1
-1.8999999999999995,0.39,6JEP_1
-1.7700000000000002,0.0,5XCV_1
-1.7700000000000002,0.0,5XCV_1
-2.57,0.1,5FB8_1
-2.57,0.1,5FB8_1
-0.8899999999999999,0.0,2DQG_1
-0.8899999999999999,0.0,2DQG_1
-0.8899999999999999,0.0,2DQF_1
-0.8899999999999999,0.0,2DQF_1
-0.9199999999999998,0.0,4ZS7_1
-0.9199999999999998,0.0,4ZS7_1
1.2400000000000002,0.12,3LH2_3
1.2400000000000002,0.12,3LH2_3
0.04000000000000002,0.0,5IES_1
0.04000000000000002,0.0,5IES_1
-2.7799999999999994,,5LCV_1
-2.7799999999999994,,5LCV_1
0.5700000000000003,0.0,5W23_1
0.5700000000000003,0.0,5W23_1
-1.15,0.08999999999999997,5EPM_1
-1.15,0.08999999999999997,5EPM_1
-0.8200000000000001,0.35,5CIL_1
-0.8200000000000001,0.35,5CIL_1
1.3800000000000001,0.23,6H3U_1
1.3800000000000001,0.23,6H3U_1
-2.8999999999999995,0.0,1N4X_1
-2.8999999999999995,0.0,1N4X_1
-0.6899999999999998,0.0,3IY3_1
-0.6899999999999998,0.0,3IY3_1
0.63,0.0,5KEN_3
0.63,0.0,5KEN_3
-0.08000000000000007,0.0,2AI0_1
-0.08000000000000007,0.0,2AI0_1
2.48,0.0,1NJ9_1
2.48,0.0,1NJ9_1
1.99,0.0,2BDN_1
1.99,0.0,2BDN_1
-1.52,0.0,3NZH_1
-1.52,0.0,3NZH_1
0.8700000000000001,0.0,5IK3_1
0.8700000000000001,0.0,5IK3_1
1.0900000000000003,0.0,4X4X_1
1.0900000000000003,0.0,4X4X_1
-0.6699999999999998,0.0,4A6Y_2
-0.6699999999999998,0.0,4A6Y_2
0.42000000000000015,0.0,1KFA_1
0.42000000000000015,0.0,1KFA_1
-2.71,1.78,3MLW_1
-2.71,1.78,3MLW_1
